key,value,is_printable,is_searchable,info
GLM-4.5V-FP8,GLM-4.5V-FP8,True,True,
claude-3-5-haiku-20241022,claude-3-5-haiku-20241022,True,True,
claude-3-5-sonnet-20241022,claude-3-5-sonnet-20241022,True,True,
claude-3-7-sonnet-20250219,claude-3-7-sonnet-20250219,True,True,
claude-3-opus-20240229,claude-3-opus-20240229,True,True,
claude-opus-4-1-20250805,claude-opus-4-1-20250805,True,True,
claude-opus-4-20250514,claude-opus-4-20250514,True,True,
claude-sonnet-4-20250514,claude-sonnet-4-20250514,True,True,
claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,True,True,
gemini-1.5-flash,gemini-1.5-flash,True,True,
gemini-1.5-pro,gemini-1.5-pro,True,True,
gemini-2.0-flash,gemini-2.0-flash,True,True,
gemini-2.0-flash-lite,gemini-2.0-flash-lite,True,True,
gemini-2.0-pro-exp-02-05,gemini-2.0-pro-exp-02-05,True,True,
gemini-2.5-flash,gemini-2.5-flash,True,True,
gemini-2.5-flash-lite,gemini-2.5-flash-lite,True,True,
gemini-2.5-flash-lite-preview-09-2025,gemini-2.5-flash-lite-preview-09-2025,True,True,
gemini-2.5-flash-preview-04-17,gemini-2.5-flash-preview-04-17,True,True,
gemini-2.5-flash-preview-09-2025,gemini-2.5-flash-preview-09-2025,True,True,
gemini-2.5-pro,gemini-2.5-pro,True,True,
gemini-2.5-pro-exp-03-25,gemini-2.5-pro-exp-03-25,True,True,
gemini-2.5-pro-preview-05-06,gemini-2.5-pro-preview-05-06,True,True,
gemini-exp-1206,gemini-exp-1206,True,True,
gpt-4.1,gpt-4.1,True,True,
gpt-4.1-mini,gpt-4.1-mini,True,True,
gpt-4.1-nano,gpt-4.1-nano,True,True,
gpt-4.5-preview,gpt-4.5-preview,True,True,
gpt-4o,gpt-4o,True,True,
gpt-4o-mini,gpt-4o-mini,True,True,
gpt-5,gpt-5,True,True,
gpt-5-mini,gpt-5-mini,True,True,
gpt-5-nano,gpt-5-nano,True,True,
meta-llama/llama-4-maverick,meta-llama/llama-4-maverick,True,True,
mistral-large-latest,mistral-large-latest,True,True,
mistral-medium-2505,mistral-medium-2505,True,True,
mistral-medium-2508,mistral-medium-2508,True,True,
o3,o3,True,True,
pixtral-12b,pixtral-12b,True,True,
pixtral-large-latest,pixtral-large-latest,True,True,
qwen/qwen3-vl-30b-a3b-instruct,qwen/qwen3-vl-30b-a3b-instruct,True,True,
qwen/qwen3-vl-8b-instruct,qwen/qwen3-vl-8b-instruct,True,True,
qwen/qwen3-vl-8b-thinking,qwen/qwen3-vl-8b-thinking,True,True,
x-ai/grok-4,x-ai/grok-4,True,True,
